"x0","y0","color","pen down?","x1","y1","color","pen down?"
"138","0.363037109375","55","true","138","0","5","true"
"139","0.363525390625","55","true","139","0","5","true"
"140","0.366455078125","55","true","140","0","5","true"
"141","0.351806640625","55","true","141","0","5","true"
"142","0.357177734375","55","true","142","0","5","true"
"143","0.365234375","55","true","143","0","5","true"
"144","0.3671875","55","true","144","0","5","true"
"145","0.365478515625","55","true","145","0","5","true"
"146","0.36376953125","55","true","146","0","5","true"
"147","0.357421875","55","true","147","0","5","true"
"148","0.353515625","55","true","148","0","5","true"
"149","0.344970703125","55","true","149","0","5","true"
"150","0.349853515625","55","true","150","0","5","true"
"151","0.361572265625","55","true","151","0","5","true"
"152","0.357177734375","55","true","152","0","5","true"
"153","0.36181640625","55","true","153","0","5","true"
"154","0.36767578125","55","true","154","0","5","true"
"155","0.364990234375","55","true","155","0","5","true"
"156","0.364013671875","55","true","156","0","5","true"
"157","0.3603515625","55","true","157","0","5","true"
"158","0.352783203125","55","true","158","0","5","true"
"159","0.34423828125","55","true","159","0","5","true"
"160","0.3369140625","55","true","160","0","5","true"
"161","0.349609375","55","true","161","0","5","true"
"162","0.35791015625","55","true","162","0","5","true"
"163","0.352294921875","55","true","163","0","5","true"
"164","0.361328125","55","true","164","0","5","true"
"165","0.364013671875","55","true","165","0","5","true"
"166","0.36865234375","55","true","166","0","5","true"
"167","0.3623046875","55","true","167","0","5","true"
"168","0.359130859375","55","true","168","0","5","true"
"169","0.357666015625","55","true","169","0","5","true"
"170","0.352783203125","55","true","170","0","5","true"
"171","0.357177734375","55","true","171","0","5","true"
"172","0.374755859375","55","true","172","0","5","true"
"173","0.371337890625","55","true","173","0","5","true"
"174","0.379638671875","55","true","174","0","5","true"
"175","0.387451171875","55","true","175","0","5","true"
"176","0.39404296875","55","true","176","0","5","true"
"177","0.3896484375","55","true","177","0","5","true"
"178","0.3896484375","55","true","178","0","5","true"
"179","0.385498046875","55","true","179","0","5","true"
"180","0.394287109375","55","true","180","0","5","true"
"181","0.395263671875","55","true","181","0","5","true"
"182","0.402587890625","55","true","182","0","5","true"
"183","0.404296875","55","true","183","0","5","true"
"184","0.389892578125","55","true","184","0","5","true"
"185","0.38525390625","55","true","185","0","5","true"
"186","0.385009765625","55","true","186","0","5","true"
"187","0.383544921875","55","true","187","0","5","true"
"188","0.37451171875","55","true","188","0","5","true"
"189","0.366943359375","55","true","189","0","5","true"
"190","0.37158203125","55","true","190","0","5","true"
"191","0.381103515625","55","true","191","0","5","true"
"192","0.382568359375","55","true","192","0","5","true"
"193","0.373046875","55","true","193","0","5","true"
"194","0.377197265625","55","true","194","0","5","true"
"195","0.386962890625","55","true","195","0","5","true"
"196","0.395751953125","55","true","196","0","5","true"
"197","0.390380859375","55","true","197","0","5","true"
"198","0.410888671875","55","true","198","0","5","true"
"199","0.407470703125","55","true","199","0","5","true"
"200","0.406494140625","55","true","200","0","5","true"
"201","0.408203125","55","true","201","0","5","true"
"202","0.418212890625","55","true","202","0","5","true"
