"x0","y0","color","pen down?","x1","y1","color","pen down?"
"138","0.906982421875","55","true","138","0","5","true"
"139","0.9130859375","55","true","139","0","5","true"
"140","0.91650390625","55","true","140","0","5","true"
"141","0.91650390625","55","true","141","0","5","true"
"142","0.914794921875","55","true","142","0","5","true"
"143","0.916748046875","55","true","143","0","5","true"
"144","0.913818359375","55","true","144","0","5","true"
"145","0.91259765625","55","true","145","0","5","true"
"146","0.915771484375","55","true","146","0","5","true"
"147","0.9150390625","55","true","147","0","5","true"
"148","0.914794921875","55","true","148","0","5","true"
"149","0.91357421875","55","true","149","0","5","true"
"150","0.916015625","55","true","150","0","5","true"
"151","0.916748046875","55","true","151","0","5","true"
"152","0.912109375","55","true","152","0","5","true"
"153","0.91064453125","55","true","153","0","5","true"
"154","0.908935546875","55","true","154","0","5","true"
"155","0.906982421875","55","true","155","0","5","true"
"156","0.906005859375","55","true","156","0","5","true"
"157","0.911865234375","55","true","157","0","5","true"
"158","0.908447265625","55","true","158","0","5","true"
"159","0.90771484375","55","true","159","0","5","true"
"160","0.908203125","55","true","160","0","5","true"
"161","0.902587890625","55","true","161","0","5","true"
"162","0.906494140625","55","true","162","0","5","true"
"163","0.909912109375","55","true","163","0","5","true"
"164","0.90966796875","55","true","164","0","5","true"
"165","0.910400390625","55","true","165","0","5","true"
"166","0.910400390625","55","true","166","0","5","true"
"167","0.90625","55","true","167","0","5","true"
"168","0.904541015625","55","true","168","0","5","true"
"169","0.904541015625","55","true","169","0","5","true"
"170","0.904541015625","55","true","170","0","5","true"
"171","0.9072265625","55","true","171","0","5","true"
"172","0.906982421875","55","true","172","0","5","true"
"173","0.91259765625","55","true","173","0","5","true"
"174","0.91357421875","55","true","174","0","5","true"
"175","0.915283203125","55","true","175","0","5","true"
"176","0.920166015625","55","true","176","0","5","true"
"177","0.918701171875","55","true","177","0","5","true"
"178","0.9189453125","55","true","178","0","5","true"
"179","0.919677734375","55","true","179","0","5","true"
"180","0.91796875","55","true","180","0","5","true"
"181","0.91796875","55","true","181","0","5","true"
"182","0.920654296875","55","true","182","0","5","true"
"183","0.921875","55","true","183","0","5","true"
"184","0.928955078125","55","true","184","0","5","true"
"185","0.9326171875","55","true","185","0","5","true"
"186","0.932861328125","55","true","186","0","5","true"
"187","0.93017578125","55","true","187","0","5","true"
"188","0.930419921875","55","true","188","0","5","true"
"189","0.9248046875","55","true","189","0","5","true"
"190","0.926025390625","55","true","190","0","5","true"
"191","0.927001953125","55","true","191","0","5","true"
"192","0.92626953125","55","true","192","0","5","true"
"193","0.924560546875","55","true","193","0","5","true"
"194","0.927490234375","55","true","194","0","5","true"
"195","0.92431640625","55","true","195","0","5","true"
"196","0.9228515625","55","true","196","0","5","true"
"197","0.92578125","55","true","197","0","5","true"
"198","0.926513671875","55","true","198","0","5","true"
"199","0.9267578125","55","true","199","0","5","true"
"200","0.92529296875","55","true","200","0","5","true"
"201","0.92724609375","55","true","201","0","5","true"
"202","0.925537109375","55","true","202","0","5","true"
"203","0.9248046875","55","true","203","0","5","true"
"204","0.919921875","55","true","204","0","5","true"
"205","0.926513671875","55","true","205","0","5","true"
"206","0.9287109375","55","true","206","0","5","true"
"207","0.927490234375","55","true","207","0","5","true"
"208","0.926513671875","55","true","208","0","5","true"
"209","0.927490234375","55","true","209","0","5","true"
"210","0.924560546875","55","true","210","0","5","true"
"211","0.9267578125","55","true","211","0","5","true"
"212","0.9287109375","55","true","212","0","5","true"
"213","0.928955078125","55","true","213","0","5","true"
"214","0.93115234375","55","true","214","0","5","true"
"215","0.92919921875","55","true","215","0","5","true"
"216","0.930908203125","55","true","216","0","5","true"
"217","0.93310546875","55","true","217","0","5","true"
"218","0.931396484375","55","true","218","0","5","true"
"219","0.928466796875","55","true","219","0","5","true"
"220","0.930419921875","55","true","220","0","5","true"
"221","0.9326171875","55","true","221","0","5","true"
"222","0.931884765625","55","true","222","0","5","true"
"223","0.93115234375","55","true","223","0","5","true"
"224","0.933349609375","55","true","224","0","5","true"
"225","0.93359375","55","true","225","0","5","true"
"226","0.932373046875","55","true","226","0","5","true"
"227","0.932861328125","55","true","227","0","5","true"
"228","0.93212890625","55","true","228","0","5","true"
"229","0.929443359375","55","true","229","0","5","true"
"230","0.927978515625","55","true","230","0","5","true"
"231","0.93505859375","55","true","231","0","5","true"
"232","0.934326171875","55","true","232","0","5","true"
"233","0.93359375","55","true","233","0","5","true"
"234","0.9345703125","55","true","234","0","5","true"
"235","0.9345703125","55","true","235","0","5","true"
"236","0.933349609375","55","true","236","0","5","true"
"237","0.93505859375","55","true","237","0","5","true"
"238","0.935546875","55","true","238","0","5","true"
